Campaign,Keyword,Match Type
"IJM Worx - Outdoor Living Search","pool cleaning","Phrase"
"IJM Worx - Outdoor Living Search","cleaning service","Phrase"
"IJM Worx - Outdoor Living Search","weekly service","Phrase"
"IJM Worx - Outdoor Living Search","pool cleaner","Phrase"
"IJM Worx - Outdoor Living Search","maintenance","Phrase"
"IJM Worx - Outdoor Living Search","pool maintenance","Phrase"
"IJM Worx - Outdoor Living Search","chemicals","Phrase"
"IJM Worx - Outdoor Living Search","pool chemicals","Phrase"
"IJM Worx - Outdoor Living Search","pool parts","Phrase"
"IJM Worx - Outdoor Living Search","pump repair","Phrase"
"IJM Worx - Outdoor Living Search","filter repair","Phrase"
"IJM Worx - Outdoor Living Search","leak detection","Phrase"
"IJM Worx - Outdoor Living Search","resurfacing","Phrase"
"IJM Worx - Outdoor Living Search","replaster","Phrase"
"IJM Worx - Outdoor Living Search","acid wash","Phrase"
"IJM Worx - Outdoor Living Search","pool removal","Phrase"
"IJM Worx - Outdoor Living Search","demolition","Phrase"
"IJM Worx - Outdoor Living Search","fill in pool","Phrase"
"IJM Worx - Outdoor Living Search","draining","Phrase"
"IJM Worx - Outdoor Living Search","roofing","Phrase"
"IJM Worx - Outdoor Living Search","roofer","Phrase"
"IJM Worx - Outdoor Living Search","solar","Phrase"
"IJM Worx - Outdoor Living Search","hvac","Phrase"
"IJM Worx - Outdoor Living Search","air conditioning","Phrase"
"IJM Worx - Outdoor Living Search","plumber","Phrase"
"IJM Worx - Outdoor Living Search","plumbing","Phrase"
"IJM Worx - Outdoor Living Search","fence","Phrase"
"IJM Worx - Outdoor Living Search","fencing","Phrase"
"IJM Worx - Outdoor Living Search","artificial turf","Phrase"
"IJM Worx - Outdoor Living Search","fake grass","Phrase"
"IJM Worx - Outdoor Living Search","lawn mowing","Phrase"
"IJM Worx - Outdoor Living Search","lawn care","Phrase"
"IJM Worx - Outdoor Living Search","lawn service","Phrase"
"IJM Worx - Outdoor Living Search","tree service","Phrase"
"IJM Worx - Outdoor Living Search","tree removal","Phrase"
"IJM Worx - Outdoor Living Search","sprinkler repair","Phrase"
"IJM Worx - Outdoor Living Search","pest control","Phrase"
"IJM Worx - Outdoor Living Search","house painting","Phrase"
"IJM Worx - Outdoor Living Search","garage door","Phrase"
"IJM Worx - Outdoor Living Search","septic","Phrase"
"IJM Worx - Outdoor Living Search","foundation repair","Phrase"
"IJM Worx - Outdoor Living Search","drywall","Phrase"
"IJM Worx - Outdoor Living Search","kitchen remodel","Phrase"
"IJM Worx - Outdoor Living Search","bathroom remodel","Phrase"
"IJM Worx - Outdoor Living Search","pool table","Phrase"
"IJM Worx - Outdoor Living Search","pool tables","Phrase"
"IJM Worx - Outdoor Living Search","pool float","Phrase"
"IJM Worx - Outdoor Living Search","pool noodle","Phrase"
"IJM Worx - Outdoor Living Search","pool party","Phrase"
"IJM Worx - Outdoor Living Search","swim lessons","Phrase"
"IJM Worx - Outdoor Living Search","swimming lessons","Phrase"
"IJM Worx - Outdoor Living Search","public pool","Phrase"
"IJM Worx - Outdoor Living Search","community pool","Phrase"
"IJM Worx - Outdoor Living Search","hotel pool","Phrase"
"IJM Worx - Outdoor Living Search","pool hall","Phrase"
"IJM Worx - Outdoor Living Search","billiards","Phrase"
"IJM Worx - Outdoor Living Search","meaning","Phrase"
"IJM Worx - Outdoor Living Search","definition","Phrase"
"IJM Worx - Outdoor Living Search","wikipedia","Phrase"
"IJM Worx - Outdoor Living Search","for sale","Phrase"
"IJM Worx - Outdoor Living Search","homes for sale","Phrase"
"IJM Worx - Outdoor Living Search","rent","Phrase"
"IJM Worx - Outdoor Living Search","rental","Phrase"
"IJM Worx - Outdoor Living Search","for rent","Phrase"
"IJM Worx - Outdoor Living Search","apartment","Phrase"
"IJM Worx - Outdoor Living Search","apartments","Phrase"
"IJM Worx - Outdoor Living Search","zillow","Phrase"
"IJM Worx - Outdoor Living Search","real estate","Phrase"
